iter	Passed	Remaining
0	159	159223
1	161	80748
2	164	54794
3	166	41526
4	168	33556
5	173	28690
6	176	25049
7	178	22086
8	179	19775
9	181	17933
10	183	16486
11	185	15237
12	186	14178
13	188	13256
14	189	12449
15	191	11774
16	193	11174
17	194	10633
18	196	10138
19	197	9700
20	200	9326
21	201	8969
22	203	8654
23	205	8359
24	207	8073
25	208	7807
26	209	7559
27	211	7327
28	212	7111
29	213	6913
30	215	6727
31	216	6551
32	217	6387
33	219	6231
34	221	6101
35	222	5962
36	224	5831
37	225	5705
38	226	5585
39	228	5472
40	229	5370
41	231	5270
42	232	5172
43	233	5078
44	235	4998
45	237	4915
46	238	4833
47	239	4754
48	241	4678
49	242	4606
50	243	4536
51	245	4468
52	246	4403
53	247	4341
54	249	4280
55	250	4222
56	251	4166
57	253	4112
58	254	4060
59	255	4009
60	257	3960
61	258	3913
62	260	3867
63	261	3822
64	262	3781
65	264	3743
66	266	3706
67	267	3661
68	268	3626
69	270	3590
70	271	3556
71	273	3523
72	275	3493
73	276	3462
74	278	3429
75	279	3400
76	281	3369
77	282	3338
78	283	3308
79	285	3279
80	286	3250
81	287	3222
82	289	3195
83	290	3169
84	291	3138
85	292	3113
86	294	3086
87	295	3061
88	296	3037
89	298	3014
90	299	2991
91	300	2969
92	302	2946
93	303	2925
94	304	2903
95	306	2882
96	307	2861
97	308	2842
98	310	2823
99	311	2804
100	312	2785
101	313	2761
102	315	2743
103	316	2725
104	317	2708
105	319	2691
106	320	2674
107	321	2658
108	323	2642
109	324	2626
110	326	2611
111	327	2595
112	328	2579
113	329	2564
114	331	2549
115	332	2532
116	333	2517
117	334	2503
118	336	2490
119	337	2477
120	339	2463
121	340	2450
122	341	2433
123	342	2420
124	343	2407
125	345	2395
126	346	2383
127	347	2368
128	348	2355
129	350	2344
130	351	2333
131	353	2322
132	354	2310
133	355	2299
134	357	2288
135	358	2277
136	359	2267
137	361	2255
138	362	2244
139	363	2234
140	365	2224
141	366	2214
142	367	2204
143	369	2194
144	370	2185
145	371	2175
146	373	2165
147	374	2157
148	376	2148
149	377	2139
150	379	2132
151	381	2128
152	384	2129
153	386	2120
154	387	2112
155	389	2105
156	390	2096
157	391	2088
158	393	2080
159	394	2071
160	396	2065
161	397	2057
162	399	2052
163	401	2046
164	403	2040
165	404	2032
166	405	2024
167	407	2016
168	408	2009
169	410	2002
170	411	1995
171	413	1989
172	415	1987
173	417	1982
174	419	1975
175	420	1968
176	421	1961
177	423	1954
178	425	1949
179	426	1942
180	427	1932
181	428	1926
182	430	1920
183	432	1916
184	433	1909
185	434	1902
186	436	1896
187	437	1889
188	439	1885
189	440	1878
190	442	1873
191	444	1869
192	447	1870
193	449	1866
194	450	1861
195	452	1855
196	453	1850
197	455	1844
198	456	1838
199	458	1833
200	460	1830
201	462	1825
202	463	1820
203	465	1815
204	467	1811
205	469	1809
206	471	1807
207	474	1806
208	475	1801
209	477	1795
210	478	1790
211	480	1784
212	481	1780
213	483	1775
214	484	1769
215	486	1764
216	488	1761
217	489	1757
218	491	1752
219	492	1746
220	494	1741
221	495	1736
222	497	1733
223	499	1730
224	500	1724
225	503	1722
226	504	1717
227	505	1712
228	507	1707
229	508	1702
230	510	1700
231	512	1696
232	513	1691
233	515	1686
234	517	1684
235	519	1681
236	520	1676
237	522	1671
238	523	1666
239	525	1662
240	526	1657
241	527	1653
242	529	1648
243	530	1644
244	532	1640
245	533	1636
246	535	1631
247	536	1627
248	538	1624
249	540	1620
250	541	1615
251	542	1611
252	544	1606
253	546	1603
254	547	1600
255	549	1596
256	550	1592
257	552	1588
258	553	1584
259	555	1579
260	556	1575
261	557	1570
262	559	1567
263	561	1564
264	562	1560
265	564	1557
266	565	1553
267	567	1549
268	568	1545
269	570	1541
270	571	1537
271	572	1533
272	574	1529
273	575	1525
274	577	1523
275	579	1518
276	580	1514
277	581	1510
278	583	1506
279	584	1503
280	585	1499
281	587	1495
282	588	1492
283	590	1489
284	592	1486
285	593	1482
286	595	1478
287	596	1475
288	598	1471
289	599	1467
290	600	1463
291	602	1459
292	603	1456
293	605	1453
294	606	1449
295	608	1446
296	609	1443
297	611	1440
298	613	1437
299	614	1434
300	617	1433
301	619	1431
302	621	1430
303	623	1427
304	624	1423
305	626	1420
306	627	1416
307	628	1412
308	630	1409
309	631	1406
310	633	1403
311	635	1400
312	636	1397
313	638	1394
314	639	1390
315	640	1387
316	642	1383
317	643	1380
318	645	1377
319	646	1374
320	648	1370
321	649	1368
322	651	1366
323	653	1362
324	654	1359
325	655	1356
326	657	1352
327	658	1349
328	660	1346
329	661	1342
330	662	1339
331	664	1336
332	666	1334
333	667	1331
334	669	1328
335	670	1325
336	671	1322
337	673	1318
338	674	1315
339	676	1312
340	677	1309
341	679	1306
342	680	1304
343	682	1301
344	683	1297
345	684	1294
346	686	1291
347	687	1288
348	689	1285
349	690	1282
350	691	1279
351	694	1277
352	695	1275
353	697	1272
354	698	1269
355	700	1266
356	702	1264
357	704	1262
358	705	1259
359	706	1256
360	708	1254
361	710	1252
362	711	1249
363	713	1246
364	714	1243
365	716	1241
366	717	1238
367	719	1235
368	720	1232
369	722	1229
370	723	1227
371	725	1224
372	726	1222
373	728	1219
374	729	1216
375	731	1214
376	733	1212
377	735	1210
378	736	1207
379	738	1205
380	740	1202
381	741	1200
382	743	1197
383	744	1194
384	745	1191
385	747	1188
386	748	1185
387	750	1183
388	751	1180
389	753	1177
390	754	1174
391	755	1172
392	757	1169
393	758	1166
394	759	1163
395	761	1161
396	762	1158
397	763	1155
398	765	1152
399	766	1150
400	768	1148
401	769	1145
402	771	1142
403	772	1140
404	774	1137
405	775	1134
406	776	1132
407	778	1129
408	780	1127
409	781	1125
410	783	1123
411	785	1120
412	786	1118
413	788	1115
414	789	1112
415	790	1110
416	792	1107
417	793	1105
418	795	1102
419	796	1100
420	798	1098
421	799	1095
422	802	1094
423	803	1092
424	805	1089
425	806	1086
426	808	1084
427	809	1082
428	810	1079
429	812	1077
430	814	1074
431	815	1072
432	817	1070
433	818	1067
434	820	1065
435	821	1062
436	822	1060
437	824	1057
438	825	1055
439	827	1053
440	829	1051
441	830	1049
442	832	1046
443	833	1044
444	835	1041
445	836	1039
446	837	1036
447	839	1034
448	840	1031
449	842	1029
450	844	1027
451	845	1025
452	847	1023
453	848	1020
454	850	1018
455	851	1016
456	853	1013
457	855	1011
458	856	1009
459	858	1008
460	860	1005
461	861	1003
462	862	1000
463	864	998
464	865	996
465	867	993
466	868	991
467	869	988
468	872	987
469	874	985
470	875	983
471	876	980
472	878	978
473	879	976
474	881	973
475	882	971
476	884	969
477	886	967
478	888	965
479	889	963
480	890	961
481	892	958
482	893	956
483	895	954
484	896	952
485	897	949
486	899	947
487	901	945
488	903	943
489	904	941
490	905	938
491	907	936
492	908	934
493	910	932
494	911	929
495	912	927
496	914	925
497	916	923
498	918	921
499	919	919
500	920	917
501	922	915
502	923	912
503	925	910
504	926	908
505	928	906
506	930	904
507	932	902
508	933	900
509	935	898
510	936	896
511	938	894
512	939	892
513	941	889
514	942	887
515	944	885
516	945	883
517	947	881
518	949	879
519	950	877
520	952	875
521	953	873
522	954	870
523	956	868
524	958	866
525	959	865
526	961	863
527	963	861
528	964	859
529	966	856
530	967	854
531	968	852
532	970	850
533	972	848
534	973	846
535	975	844
536	977	842
537	978	840
538	980	838
539	981	836
540	982	833
541	984	831
542	985	829
543	987	827
544	988	825
545	990	823
546	992	821
547	993	819
548	995	817
549	996	815
550	998	813
551	999	811
552	1000	809
553	1002	807
554	1004	805
555	1005	802
556	1006	800
557	1008	798
558	1010	797
559	1012	795
560	1013	793
561	1014	791
562	1016	789
563	1018	787
564	1019	784
565	1020	782
566	1022	780
567	1024	779
568	1026	777
569	1027	775
570	1028	772
571	1030	771
572	1032	769
573	1033	767
574	1034	764
575	1036	762
576	1038	761
577	1040	759
578	1041	757
579	1043	755
580	1044	753
581	1047	752
582	1048	750
583	1050	748
584	1051	746
585	1054	744
586	1055	742
587	1057	740
588	1059	739
589	1061	737
590	1063	735
591	1064	733
592	1065	731
593	1067	729
594	1069	728
595	1070	725
596	1072	723
597	1074	722
598	1075	720
599	1076	717
600	1078	715
601	1079	713
602	1081	711
603	1083	710
604	1084	708
605	1086	706
606	1087	704
607	1089	702
608	1090	700
609	1092	698
610	1093	696
611	1095	694
612	1096	692
613	1098	690
614	1100	688
615	1103	687
616	1104	685
617	1106	683
618	1107	681
619	1108	679
620	1110	677
621	1111	675
622	1113	673
623	1115	671
624	1116	670
625	1118	668
626	1119	665
627	1120	663
628	1122	661
629	1123	660
630	1125	657
631	1126	655
632	1128	654
633	1129	652
634	1131	650
635	1132	648
636	1134	646
637	1135	644
638	1136	642
639	1138	640
640	1139	638
641	1140	636
642	1142	634
643	1144	632
644	1146	630
645	1147	628
646	1148	626
647	1150	624
648	1151	622
649	1153	620
650	1154	618
651	1155	616
652	1157	615
653	1159	613
654	1160	611
655	1162	609
656	1163	607
657	1165	605
658	1166	603
659	1168	601
660	1169	599
661	1170	597
662	1173	596
663	1174	594
664	1176	592
665	1177	590
666	1178	588
667	1180	586
668	1182	584
669	1183	582
670	1185	581
671	1188	580
672	1190	578
673	1191	576
674	1193	574
675	1194	572
676	1196	570
677	1197	568
678	1199	567
679	1201	565
680	1202	563
681	1204	561
682	1205	559
683	1207	557
684	1208	555
685	1209	553
686	1211	551
687	1212	550
688	1214	548
689	1216	546
690	1217	544
691	1219	542
692	1220	540
693	1222	538
694	1223	537
695	1225	535
696	1226	533
697	1228	531
698	1230	529
699	1231	527
700	1232	525
701	1234	524
702	1235	522
703	1237	520
704	1238	518
705	1239	516
706	1241	514
707	1242	512
708	1244	510
709	1246	508
710	1247	507
711	1249	505
712	1250	503
713	1251	501
714	1253	499
715	1255	497
716	1256	495
717	1258	494
718	1260	492
719	1261	490
720	1263	488
721	1264	486
722	1266	485
723	1267	483
724	1268	481
725	1270	479
726	1271	477
727	1273	475
728	1275	474
729	1276	472
730	1278	470
731	1279	468
732	1281	466
733	1282	464
734	1284	463
735	1285	461
736	1287	459
737	1288	457
738	1290	455
739	1292	454
740	1293	452
741	1294	450
742	1296	448
743	1297	446
744	1299	444
745	1300	442
746	1302	441
747	1303	439
748	1305	437
749	1306	435
750	1308	433
751	1309	431
752	1310	429
753	1312	428
754	1313	426
755	1315	424
756	1316	422
757	1318	420
758	1320	419
759	1321	417
760	1323	415
761	1324	413
762	1325	411
763	1327	410
764	1328	408
765	1330	406
766	1331	404
767	1334	403
768	1335	401
769	1336	399
770	1338	397
771	1339	395
772	1341	393
773	1342	391
774	1343	390
775	1345	388
776	1346	386
777	1349	384
778	1350	383
779	1352	381
780	1353	379
781	1355	377
782	1356	376
783	1358	374
784	1359	372
785	1360	370
786	1363	369
787	1364	367
788	1366	365
789	1367	363
790	1369	361
791	1370	360
792	1372	358
793	1373	356
794	1374	354
795	1376	352
796	1378	351
797	1380	349
798	1381	347
799	1382	345
800	1384	344
801	1385	342
802	1387	340
803	1388	338
804	1390	336
805	1392	335
806	1393	333
807	1395	331
808	1396	329
809	1398	328
810	1399	326
811	1401	324
812	1402	322
813	1403	320
814	1407	319
815	1409	317
816	1410	316
817	1412	314
818	1413	312
819	1415	310
820	1416	308
821	1417	307
822	1419	305
823	1421	303
824	1422	301
825	1424	300
826	1425	298
827	1427	296
828	1428	294
829	1430	292
830	1431	291
831	1432	289
832	1434	287
833	1436	285
834	1438	284
835	1439	282
836	1441	280
837	1442	278
838	1443	277
839	1445	275
840	1446	273
841	1448	271
842	1450	270
843	1451	268
844	1453	266
845	1455	264
846	1456	263
847	1457	261
848	1459	259
849	1460	257
850	1462	256
851	1463	254
852	1464	252
853	1466	250
854	1468	249
855	1470	247
856	1471	245
857	1473	243
858	1475	242
859	1477	240
860	1478	238
861	1480	236
862	1481	235
863	1483	233
864	1485	231
865	1486	230
866	1487	228
867	1489	226
868	1491	224
869	1492	223
870	1493	221
871	1495	219
872	1497	217
873	1499	216
874	1500	214
875	1502	212
876	1504	210
877	1505	209
878	1507	207
879	1508	205
880	1510	204
881	1512	202
882	1513	200
883	1515	198
884	1516	197
885	1518	195
886	1519	193
887	1521	191
888	1522	190
889	1524	188
890	1526	186
891	1527	184
892	1529	183
893	1530	181
894	1532	179
895	1534	178
896	1535	176
897	1536	174
898	1538	172
899	1540	171
900	1542	169
901	1543	167
902	1545	165
903	1546	164
904	1548	162
905	1549	160
906	1550	159
907	1552	157
908	1553	155
909	1555	153
910	1556	152
911	1558	150
912	1559	148
913	1561	146
914	1562	145
915	1564	143
916	1565	141
917	1567	139
918	1568	138
919	1570	136
920	1572	134
921	1574	133
922	1575	131
923	1577	129
924	1578	127
925	1579	126
926	1581	124
927	1583	122
928	1584	121
929	1586	119
930	1587	117
931	1589	115
932	1590	114
933	1592	112
934	1593	110
935	1594	109
936	1595	107
937	1597	105
938	1599	103
939	1600	102
940	1601	100
941	1603	98
942	1604	96
943	1605	95
944	1607	93
945	1608	91
946	1609	90
947	1611	88
948	1612	86
949	1614	84
950	1615	83
951	1617	81
952	1618	79
953	1619	78
954	1621	76
955	1622	74
956	1623	72
957	1625	71
958	1626	69
959	1628	67
960	1630	66
961	1632	64
962	1633	62
963	1635	61
964	1636	59
965	1638	57
966	1639	55
967	1641	54
968	1642	52
969	1643	50
970	1645	49
971	1646	47
972	1647	45
973	1649	44
974	1650	42
975	1652	40
976	1654	38
977	1655	37
978	1657	35
979	1658	33
980	1660	32
981	1662	30
982	1663	28
983	1664	27
984	1666	25
985	1667	23
986	1669	21
987	1670	20
988	1672	18
989	1674	16
990	1675	15
991	1677	13
992	1678	11
993	1679	10
994	1681	8
995	1683	6
996	1684	5
997	1685	3
998	1687	1
999	1689	0
